sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score
oversampling,select_univariate,standard_scaler,umap,nn,0.385165813113608,0.381023222060958,0.383083318614287
oversampling,select_univariate,log2_transform,no_dim_reduction,nn,0.550581363305407,0.52688679245283,0.538473544570135
oversampling,select_univariate,log2_transform,pca,nn,0.554988335677843,0.545440251572327,0.550172870714438
oversampling,select_univariate,log2_transform,umap,nn,0.461330269314971,0.439344460570876,0.450069024014677
oversampling,select_l1,no_norm,no_dim_reduction,nn,0.802173691911163,0.790142718916304,0.796112754550382
oversampling,select_l1,no_norm,pca,nn,0.502684509691693,0.498234155781326,0.500449439000579
oversampling,select_l1,no_norm,umap,nn,0.361148963018237,0.3653725205612,0.363248465182129
oversampling,select_l1,min_max_norm,no_dim_reduction,nn,0.896852639338564,0.891013546202225,0.893923557658391
oversampling,select_l1,min_max_norm,pca,nn,0.872979604256252,0.864283986453798,0.868610033036005
oversampling,select_l1,min_max_norm,umap,nn,0.443818804070959,0.422145621673924,0.432710996860992
oversampling,select_l1,robust_scaler,no_dim_reduction,nn,0.845518734015419,0.836780358006773,0.841126851112302
oversampling,select_l1,robust_scaler,pca,nn,0.293389619952345,0.353701015965167,0.320734688128008
oversampling,select_l1,robust_scaler,umap,nn,0.371718187446147,0.39329946782777,0.382204421810701
oversampling,select_l1,standard_scaler,no_dim_reduction,nn,0.895032522748811,0.889090469279149,0.892051600956409
oversampling,select_l1,standard_scaler,pca,nn,0.882220098449645,0.875072568940493,0.878631797932463
oversampling,select_l1,standard_scaler,umap,nn,0.438501038014133,0.431918238993711,0.435184746337533
oversampling,select_l1,log2_transform,no_dim_reduction,nn,0.71732832425467,0.683599419448476,0.700057841267719
oversampling,select_l1,log2_transform,pca,nn,0.84535450785424,0.833551040154814,0.839411282138026
oversampling,select_l1,log2_transform,umap,nn,0.47229876602093,0.465287856797291,0.468767098978736
undersampling,var_threshold,no_norm,no_dim_reduction,nn,0.142285714285714,0.333333333333333,0.199439327192631
undersampling,var_threshold,no_norm,pca,nn,0.356288455912271,0.344603174603175,0.350348406618978
undersampling,var_threshold,no_norm,umap,nn,0.142285714285714,0.333333333333333,0.199439327192631
undersampling,var_threshold,min_max_norm,no_dim_reduction,nn,0.396038264329028,0.402380952380952,0.399184415016151
undersampling,var_threshold,min_max_norm,pca,nn,0.395882508774385,0.394603174603175,0.395241806441744
undersampling,var_threshold,min_max_norm,umap,nn,0.280662432244543,0.344285714285714,0.309235466958218
undersampling,var_threshold,robust_scaler,no_dim_reduction,nn,0.412384609330834,0.406666666666667,0.40950567901128
undersampling,var_threshold,robust_scaler,pca,nn,0.261405815825937,0.328412698412698,0.291103067413835
undersampling,var_threshold,robust_scaler,umap,nn,0.294467124193742,0.358730158730159,0.323437469702828
undersampling,var_threshold,standard_scaler,no_dim_reduction,nn,0.393160333438466,0.387301587301587,0.390208970247649
undersampling,var_threshold,standard_scaler,pca,nn,0.398335561514758,0.390476190476191,0.394366722348887
undersampling,var_threshold,standard_scaler,umap,nn,0.142285714285714,0.333333333333333,0.199439327192631
undersampling,var_threshold,log2_transform,no_dim_reduction,nn,0.429463255568238,0.395238095238095,0.411640502200177
undersampling,var_threshold,log2_transform,pca,nn,0.431226392023442,0.428888888888889,0.430054464183737
undersampling,var_threshold,log2_transform,umap,nn,0.230882855766872,0.342380952380952,0.275788880869003
